stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000257770,9606.ENSP00000305449,NT5E,CNNM3,9606,0.615,0.057,0.0,0.0,0.0,0.0,0.585,0.096
9606.ENSP00000257770,9606.ENSP00000419851,NT5E,GMPS,9606,0.926,0.0,0.0,0.0,0.062,0.0,0.9,0.274
9606.ENSP00000305449,9606.ENSP00000363520,CNNM3,NIPAL3,9606,0.606,0.0,0.0,0.0,0.044,0.0,0.0,0.604
9606.ENSP00000305449,9606.ENSP00000356105,CNNM3,SLC41A1,9606,0.686,0.0,0.0,0.0,0.082,0.0,0.0,0.672
9606.ENSP00000305449,9606.ENSP00000419851,CNNM3,GMPS,9606,0.701,0.106,0.0,0.0,0.074,0.0,0.585,0.233
9606.ENSP00000305449,9606.ENSP00000497588,CNNM3,PTP4A1,9606,0.798,0.0,0.0,0.0,0.0,0.696,0.0,0.363
9606.ENSP00000305449,9606.ENSP00000381231,CNNM3,CBS,9606,0.836,0.049,0.0,0.0,0.051,0.0,0.0,0.833
9606.ENSP00000305449,9606.ENSP00000485527,CNNM3,CBSL,9606,0.855,0.049,0.0,0.0,0.051,0.0,0.0,0.852
9606.ENSP00000305449,9606.ENSP00000428976,CNNM3,PTP4A3,9606,0.945,0.0,0.0,0.0,0.044,0.931,0.0,0.226
9606.ENSP00000305449,9606.ENSP00000493688,CNNM3,PTP4A2,9606,0.998,0.0,0.0,0.0,0.059,0.972,0.0,0.961
9606.ENSP00000356105,9606.ENSP00000485527,SLC41A1,CBSL,9606,0.425,0.0,0.0,0.0,0.051,0.0,0.0,0.419
9606.ENSP00000356105,9606.ENSP00000381231,SLC41A1,CBS,9606,0.426,0.0,0.0,0.0,0.053,0.0,0.0,0.419
9606.ENSP00000356105,9606.ENSP00000363520,SLC41A1,NIPAL3,9606,0.654,0.0,0.0,0.0,0.0,0.0,0.0,0.654
9606.ENSP00000363520,9606.ENSP00000493688,NIPAL3,PTP4A2,9606,0.64,0.0,0.0,0.0,0.042,0.0,0.0,0.64
9606.ENSP00000381231,9606.ENSP00000419851,CBS,GMPS,9606,0.526,0.1,0.0,0.0,0.146,0.0,0.0,0.432
9606.ENSP00000381231,9606.ENSP00000485527,CBS,CBSL,9606,0.9,0.0,0.0,0.047,0.0,0.9,0.0,0.0
9606.ENSP00000419851,9606.ENSP00000485527,GMPS,CBSL,9606,0.513,0.1,0.0,0.0,0.118,0.0,0.0,0.436
9606.ENSP00000428976,9606.ENSP00000493688,PTP4A3,PTP4A2,9606,0.43,0.0,0.0,0.052,0.0,0.411,0.0,0.062
9606.ENSP00000493688,9606.ENSP00000497588,PTP4A2,PTP4A1,9606,0.871,0.0,0.0,0.049,0.06,0.828,0.0,0.265
9606.ENSP00000216361,9606.ENSP00000324302,COCH,STXBP6,9606,0.826,0.0,0.0,0.0,0.05,0.0,0.0,0.825
9606.ENSP00000216361,9606.ENSP00000380437,COCH,SLC22A17,9606,0.831,0.0,0.0,0.0,0.0,0.052,0.0,0.829
9606.ENSP00000249647,9606.ENSP00000253861,SNAP23,EXOC4,9606,0.791,0.0,0.0,0.0,0.087,0.292,0.5,0.43
9606.ENSP00000249647,9606.ENSP00000324302,SNAP23,STXBP6,9606,0.823,0.0,0.0,0.0,0.0,0.777,0.0,0.237
9606.ENSP00000249647,9606.ENSP00000254976,SNAP23,SNAP25,9606,0.932,0.0,0.0,0.062,0.0,0.0,0.9,0.335
9606.ENSP00000249647,9606.ENSP00000321826,SNAP23,STXBP5,9606,0.949,0.0,0.0,0.0,0.042,0.414,0.54,0.826
9606.ENSP00000249647,9606.ENSP00000263354,SNAP23,NAPA,9606,0.99,0.0,0.0,0.0,0.061,0.891,0.54,0.827
9606.ENSP00000249647,9606.ENSP00000263864,SNAP23,VAMP8,9606,0.999,0.0,0.0,0.0,0.107,0.813,0.9,0.999
9606.ENSP00000249647,9606.ENSP00000317714,SNAP23,STX4,9606,0.999,0.0,0.0,0.0,0.068,0.922,0.9,0.999
9606.ENSP00000249647,9606.ENSP00000338562,SNAP23,STX3,9606,0.999,0.0,0.0,0.0,0.071,0.92,0.8,0.999
9606.ENSP00000253861,9606.ENSP00000338562,EXOC4,STX3,9606,0.445,0.0,0.0,0.0,0.0,0.091,0.0,0.415
9606.ENSP00000253861,9606.ENSP00000321826,EXOC4,STXBP5,9606,0.55,0.0,0.0,0.0,0.06,0.31,0.0,0.362
9606.ENSP00000253861,9606.ENSP00000254976,EXOC4,SNAP25,9606,0.704,0.0,0.0,0.0,0.054,0.292,0.0,0.593
9606.ENSP00000253861,9606.ENSP00000324302,EXOC4,STXBP6,9606,0.724,0.0,0.0,0.0,0.05,0.287,0.54,0.22
9606.ENSP00000253861,9606.ENSP00000317714,EXOC4,STX4,9606,0.752,0.0,0.0,0.0,0.049,0.091,0.5,0.495
9606.ENSP00000254976,9606.ENSP00000324302,SNAP25,STXBP6,9606,0.761,0.0,0.0,0.0,0.085,0.207,0.0,0.697
9606.ENSP00000254976,9606.ENSP00000338562,SNAP25,STX3,9606,0.99,0.0,0.0,0.0,0.057,0.805,0.54,0.903
9606.ENSP00000254976,9606.ENSP00000263864,SNAP25,VAMP8,9606,0.991,0.0,0.0,0.0,0.067,0.399,0.9,0.869
9606.ENSP00000254976,9606.ENSP00000263354,SNAP25,NAPA,9606,0.995,0.0,0.0,0.0,0.066,0.909,0.54,0.89
9606.ENSP00000254976,9606.ENSP00000317714,SNAP25,STX4,9606,0.998,0.0,0.0,0.0,0.057,0.851,0.9,0.93
9606.ENSP00000254976,9606.ENSP00000321826,SNAP25,STXBP5,9606,0.998,0.0,0.0,0.0,0.0,0.917,0.54,0.975
9606.ENSP00000263354,9606.ENSP00000324302,NAPA,STXBP6,9606,0.776,0.0,0.0,0.0,0.0,0.776,0.0,0.0
9606.ENSP00000263354,9606.ENSP00000321826,NAPA,STXBP5,9606,0.941,0.0,0.0,0.0,0.0,0.45,0.54,0.788
9606.ENSP00000263354,9606.ENSP00000338562,NAPA,STX3,9606,0.956,0.0,0.0,0.0,0.0,0.639,0.54,0.757
9606.ENSP00000263354,9606.ENSP00000263864,NAPA,VAMP8,9606,0.98,0.0,0.0,0.0,0.053,0.844,0.54,0.747
9606.ENSP00000263354,9606.ENSP00000317714,NAPA,STX4,9606,0.982,0.0,0.0,0.0,0.048,0.836,0.54,0.78
9606.ENSP00000263864,9606.ENSP00000324302,VAMP8,STXBP6,9606,0.769,0.0,0.0,0.0,0.0,0.071,0.0,0.762
9606.ENSP00000263864,9606.ENSP00000321826,VAMP8,STXBP5,9606,0.901,0.0,0.0,0.0,0.0,0.071,0.54,0.788
9606.ENSP00000263864,9606.ENSP00000317714,VAMP8,STX4,9606,0.999,0.0,0.0,0.0,0.065,0.805,0.9,0.999
9606.ENSP00000263864,9606.ENSP00000338562,VAMP8,STX3,9606,0.999,0.0,0.0,0.0,0.056,0.881,0.54,0.993
9606.ENSP00000317714,9606.ENSP00000324302,STX4,STXBP6,9606,0.958,0.0,0.0,0.0,0.0,0.721,0.0,0.857
9606.ENSP00000317714,9606.ENSP00000321826,STX4,STXBP5,9606,0.959,0.0,0.0,0.0,0.0,0.505,0.54,0.834
9606.ENSP00000317714,9606.ENSP00000338562,STX4,STX3,9606,0.96,0.0,0.0,0.083,0.042,0.705,0.54,0.716
9606.ENSP00000321826,9606.ENSP00000324302,STXBP5,STXBP6,9606,0.943,0.0,0.0,0.0,0.0,0.0,0.0,0.943
9606.ENSP00000321826,9606.ENSP00000338562,STXBP5,STX3,9606,0.968,0.0,0.0,0.0,0.062,0.831,0.54,0.619
9606.ENSP00000324302,9606.ENSP00000338562,STXBP6,STX3,9606,0.78,0.0,0.0,0.0,0.0,0.722,0.0,0.242
9606.ENSP00000324302,9606.ENSP00000380437,STXBP6,SLC22A17,9606,0.85,0.0,0.0,0.0,0.073,0.0,0.0,0.845
9606.ENSP00000290158,9606.ENSP00000358716,KPNB1,DDX20,9606,0.494,0.0,0.0,0.0,0.074,0.091,0.0,0.447
9606.ENSP00000290158,9606.ENSP00000412566,KPNB1,SNRPB,9606,0.531,0.0,0.0,0.0,0.078,0.137,0.0,0.458
9606.ENSP00000290158,9606.ENSP00000384863,KPNB1,XPO1,9606,0.902,0.0,0.0,0.0,0.455,0.199,0.0,0.794
9606.ENSP00000290158,9606.ENSP00000352400,KPNB1,NUP214,9606,0.911,0.0,0.0,0.0,0.095,0.674,0.5,0.471
9606.ENSP00000290158,9606.ENSP00000454852,KPNB1,SNUPN,9606,0.998,0.0,0.0,0.0,0.049,0.952,0.9,0.663
9606.ENSP00000290158,9606.ENSP00000446215,KPNB1,RAN,9606,0.999,0.0,0.0,0.0,0.445,0.997,0.7,0.691
9606.ENSP00000300413,9606.ENSP00000352400,SNRPD1,NUP214,9606,0.425,0.0,0.0,0.0,0.082,0.0,0.4,0.0
9606.ENSP00000300413,9606.ENSP00000446215,SNRPD1,RAN,9606,0.453,0.0,0.0,0.0,0.436,0.0,0.0,0.071
9606.ENSP00000300413,9606.ENSP00000454852,SNRPD1,SNUPN,9606,0.844,0.0,0.0,0.0,0.06,0.589,0.5,0.288
9606.ENSP00000300413,9606.ENSP00000358716,SNRPD1,DDX20,9606,0.967,0.0,0.0,0.0,0.071,0.382,0.9,0.502
9606.ENSP00000300413,9606.ENSP00000412566,SNRPD1,SNRPB,9606,0.999,0.0,0.0,0.0,0.266,0.991,0.9,0.871
9606.ENSP00000300413,9606.ENSP00000400591,SNRPD1,SNRPE,9606,0.999,0.0,0.0,0.0,0.858,0.997,0.9,0.996
9606.ENSP00000329918,9606.ENSP00000454852,MEX3B,SNUPN,9606,0.849,0.0,0.0,0.0,0.0,0.363,0.0,0.773
9606.ENSP00000352400,9606.ENSP00000400591,NUP214,SNRPE,9606,0.432,0.0,0.0,0.0,0.083,0.0,0.4,0.052
9606.ENSP00000352400,9606.ENSP00000412566,NUP214,SNRPB,9606,0.476,0.0,0.0,0.0,0.163,0.0,0.4,0.0
9606.ENSP00000352400,9606.ENSP00000358716,NUP214,DDX20,9606,0.681,0.0,0.0,0.0,0.08,0.178,0.4,0.379
9606.ENSP00000352400,9606.ENSP00000454852,NUP214,SNUPN,9606,0.964,0.0,0.0,0.0,0.047,0.9,0.4,0.452
9606.ENSP00000352400,9606.ENSP00000446215,NUP214,RAN,9606,0.973,0.0,0.0,0.0,0.054,0.918,0.5,0.393
9606.ENSP00000352400,9606.ENSP00000384863,NUP214,XPO1,9606,0.999,0.0,0.0,0.0,0.074,0.988,0.9,0.99
9606.ENSP00000358716,9606.ENSP00000361162,DDX20,TOE1,9606,0.559,0.0,0.0,0.0,0.301,0.0,0.0,0.395
9606.ENSP00000358716,9606.ENSP00000454852,DDX20,SNUPN,9606,0.863,0.0,0.0,0.0,0.052,0.292,0.5,0.641
9606.ENSP00000358716,9606.ENSP00000400591,DDX20,SNRPE,9606,0.979,0.0,0.0,0.0,0.065,0.714,0.9,0.309
9606.ENSP00000358716,9606.ENSP00000412566,DDX20,SNRPB,9606,0.981,0.0,0.0,0.0,0.064,0.628,0.9,0.536
9606.ENSP00000361162,9606.ENSP00000412566,TOE1,SNRPB,9606,0.405,0.0,0.0,0.0,0.08,0.304,0.0,0.146
9606.ENSP00000361162,9606.ENSP00000454852,TOE1,SNUPN,9606,0.86,0.0,0.0,0.0,0.067,0.83,0.0,0.191
9606.ENSP00000384863,9606.ENSP00000400591,XPO1,SNRPE,9606,0.468,0.0,0.0,0.0,0.264,0.0,0.0,0.306
9606.ENSP00000384863,9606.ENSP00000454852,XPO1,SNUPN,9606,0.999,0.0,0.0,0.0,0.06,0.983,0.0,0.994
